Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
421511,741.25,3376.25,2510.0,21.052661895751953,,,,,,,,,,,,,9.706093788146973,0.3208230137825012,-0.4405331015586853,-0.6098010540008545,-0.018091827630996704,-0.09737660735845566,-35.849998474121094,-5.400000095367432,55.5,215.4709014892578,,,,,,,,0.0,0.0,0.0,,,,,,,,13.729999542236328,28.639999389648438,,669
422043,,,,,2025,12,6,17,8,37,33.07599639892578,-111.96937561035156,6214.0,10308572.0,2118226.0,26,9.667786598205566,0.9481038451194763,2.6001031398773193,-0.7380401492118835,-0.10269773006439209,0.07555998861789703,-35.25,-39.599998474121094,51.599998474121094,215.56674194335938,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.84000015258789,28.809999465942383,,670
423394,1003.75,3255.0,3260.0,21.52080535888672,,,,,,,,,,,,,9.548076629638672,-0.3447650372982025,1.968033790588379,0.09152336418628693,-0.16867969930171967,0.028734078630805016,-36.75,-42.29999923706055,42.45000076293945,215.4229736328125,,,,,,,,0.0,0.0,0.0,,,,,,,,13.640000343322754,28.850000381469727,,670
423927,,,,,,,,,,,,,,,,,10.295066833496094,-0.2106897532939911,1.0534487962722778,0.736443817615509,-0.10855096578598022,-0.00691746361553669,-36.45000076293945,-38.849998474121094,44.400001525878906,215.6146697998047,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.569999694824219,28.940000534057617,,675
424458,1026.25,3240.0,3340.0,21.052661895751953,,,,,,,,,,,,,9.758766174316406,-0.181959331035614,0.4596867263317108,1.1812899112701416,-0.07396364957094193,0.07662421464920044,-38.849998474121094,-30.149999618530273,52.20000076293945,215.4229736328125,,,,,,,,0.0,0.0,0.0,,,,,,,,13.569999694824219,29.030000686645508,,668
424991,,,,,2025,12,6,17,8,40,33.075965881347656,-111.9692153930664,4594.0,11202650.0,2137492.0,25,9.75397777557373,-0.22505496442317963,1.8052281141281128,2.1465420722961426,0.16495490074157715,0.12451434880495071,-41.25,3.5999999046325684,27.149999618530273,215.4229736328125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.649999618530273,29.280000686645508,,672
426441,1030.0,3257.5,3350.0,21.052661895751953,,,,,,,,,,,,,9.648633003234863,0.6416460275650024,1.192312479019165,2.317882537841797,0.21178081631660461,0.1229180097579956,-42.45000076293945,-13.5,11.25,215.56674194335938,,,,,,,,0.0,0.0,0.0,,,,,,,,13.550000190734863,29.3700008392334,,670
426974,,,,,,,,,,,,,,,,,9.801861763000488,0.3734954595565796,0.42616790533065796,1.9390182495117188,0.2250836193561554,0.08460589498281479,-42.900001525878906,-31.649999618530273,22.950000762939453,215.4229736328125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.579999923706055,29.450000762939453,,669
427505,1028.75,3238.75,3340.0,24.329635620117188,,,,,,,,,,,,,9.988609313964844,-0.014365210197865963,0.44532153010368347,1.3771073818206787,0.23785431683063507,0.02075239084661007,-41.70000076293945,-31.950000762939453,41.54999923706055,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.619999885559082,29.5,,679
428037,,,,,2025,12,6,17,8,43,33.07591247558594,-111.9691162109375,4680.0,13421316.0,2158038.0,26,9.749189376831055,0.5554547905921936,-0.11013327538967133,0.2745700776576996,0.09045914560556412,0.015431264415383339,-37.95000076293945,-5.099999904632568,52.349998474121094,215.56674194335938,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.649999618530273,29.639999389648438,,672
429385,1045.0,3235.0,3380.0,23.393346786499023,,,,,,,,,,,,,9.461885452270508,1.8339585065841675,0.19632454216480255,-0.2830839157104492,-0.03777999430894852,0.06385350972414017,-35.849998474121094,-4.949999809265137,52.95000076293945,215.4229736328125,,,,,,,,0.0,0.0,0.0,,,,,,,,13.670000076293945,29.690000534057617,,673
429918,,,,,,,,,,,,,,,,,9.907206535339355,1.0534487962722778,-0.31603461503982544,-0.4171762466430664,0.046293795108795166,0.04150478169322014,-37.20000076293945,-11.699999809265137,54.900001525878906,215.56674194335938,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.699999809265137,29.75,,673
